frequency_id,line_id,start_time,end_time,headway_sec
T576,B_1,06:19:00,07:39:00,60
T577,B_1,06:39:00,07:59:00,60
T578,B_1,06:59:00,08:19:00,60
T579,B_1,07:19:00,08:39:00,60
T58,A_2,20:34:00,21:03:00,60
T581,B_1,10:10:00,11:30:00,60
T582,B_1,10:40:00,12:00:00,60
T583,B_1,11:10:00,12:30:00,60
T584,B_1,11:40:00,13:00:00,60
T585,B_1,12:10:00,13:30:00,60
T586,B_1,12:40:00,14:00:00,60
T587,B_1,13:10:00,14:30:00,60
T59,A_2,20:56:00,21:25:00,60
T594,B_1,09:40:00,11:00:00,60
T596,B_1,09:10:00,10:30:00,60
T6,A_2,21:51:00,22:20:00,60
T60,A_2,21:18:00,21:47:00,60
T600,B_1,08:40:00,10:00:00,60
T601,B_1,08:10:00,09:30:00,60
T605,B_1,13:39:00,14:59:00,60
T606,B_1,13:59:00,15:19:00,60
T607,B_1,14:19:00,15:39:00,60
T608,B_1,14:39:00,15:59:00,60
T609,B_1,14:59:00,16:19:00,60
T61,A_2,21:40:00,22:09:00,60
T610,B_1,15:19:00,16:39:00,60
T615,B_1,16:10:00,17:30:00,60
T62,A_2,22:02:00,22:31:00,60
T620,B_1,16:40:00,18:00:00,60
T621,B_1,17:10:00,18:30:00,60
T622,B_1,17:40:00,19:00:00,60
T623,B_1,18:10:00,19:30:00,60
T624,B_1,18:40:00,20:00:00,60
T63,A_2,22:24:00,22:53:00,60
T637,B_1,19:10:00,20:30:00,60
T638,B_1,19:40:00,21:00:00,60
T639,B_1,20:10:00,21:30:00,60
T64,A_2,22:46:00,23:15:00,60
T640,B_1,20:40:00,22:00:00,60
T641,B_1,21:10:00,22:30:00,60
T642,B_1,21:40:00,23:00:00,60
T643,B_1,22:10:00,23:30:00,60
T65,A_2,23:08:00,23:37:00,60
T66,A_2,23:30:00,23:59:00,60
T67,A_2,00:00:00,00:29:00,60
T7,A_2,22:13:00,22:42:00,60
T70,A_2,05:30:00,05:59:00,60
T708,B_2,15:25:00,16:45:00,60
T709,B_2,15:45:00,17:05:00,60
T71,A_2,05:45:00,06:14:00,60
T713,B_2,16:05:00,17:25:00,60
T714,B_2,16:25:00,17:45:00,60
T715,B_2,16:45:00,18:05:00,60
T717,B_2,17:15:00,18:35:00,60
T72,A_2,08:15:00,08:45:00,60
T721,B_2,17:45:00,19:05:00,60
T722,B_2,18:15:00,19:35:00,60
T723,B_2,18:45:00,20:05:00,60
T724,B_2,19:15:00,20:35:00,60
