shapeid,id,x,y,z,seq_id
111391,111391,235243.7772,891352.627,0,4
111391,111391,235230.5852,891347.7924,0,5
111391,111391,235214.168,891336.1064,0,6
111391,111391,235197.0067,891319.3873,0,7
111391,111391,235182.7995,891306.8141,0,8
111392,111392,235370.90115,891364.7812999999,0,1
111392,111392,235358.1137,891362.5271,0,2
111392,111392,235347.361,891360.706,0,3
111392,111392,235327.9489,891358.9464,0,4
111392,111392,235313.1903,891357.0916,0,5
111392,111392,235300.33755,891355.9984500001,0,6
111393,111393,235512.672,891421.3252,0,1
111393,111393,235498.7977,891413.1114,0,2
111393,111393,235469.6963,891399.9846,0,3
111393,111393,235436.0879,891381.62,0,4
111393,111393,235427.1044,891377.9905,0,5
111393,111393,235414.94035,891374.2615,0,6
111394,111394,235414.94035,891374.2615,0,1
111394,111394,235402.7763,891370.5325,0,2
111394,111394,235383.6886,891367.0355,0,3
111394,111394,235370.90115,891364.7812999999,0,4
111404,111404,234197.33145,891246.7456,0,1
111404,111404,234189.7946,891244.2727,0,2
111404,111404,234162.5593,891235.0919,0,3
111404,111404,234119.8968,891215.9557,0,4
111404,111404,234054.2134,891186.0934,0,5
111404,111404,234030.1336,891175.4191,0,6
119178,119178,235608.16615,890604.1945499999,0,1
119178,119178,235607.7242,890591.2089,0,2
119178,119178,235605.9724,890495.4348,0,3
119178,119178,235605.63069999998,890482.45785,0,4
119179,119179,235605.63069999998,890482.45785,0,1
119179,119179,235605.289,890469.4809,0,2
119179,119179,235601.4189,890356.8912,0,3
119179,119179,235601.4376,890353.1857,0,4
119179,119179,235601.24285,890340.2350000001,0,5
119180,119180,235601.24285,890340.2350000001,0,1
119180,119180,235601.0481,890327.2843,0,2
119180,119180,235599.0522,890270.5037,0,3
119180,119180,235592.236,890051.3126,0,4
119180,119180,235592.267,890050.8489,0,5
119267,119267,235491.06650000002,891168.706,0,1
119267,119267,235478.0487,891169.6984,0,2
119267,119267,235474.6065,891169.8682,0,3
119267,119267,235451.137,891169.1916,0,4
119267,119267,235431.8809,891167.9814,0,5
119267,119267,235392.7633,891165.4455,0,6
119267,119267,235374.7113,891162.5393,0,7
119267,119267,235358.0106,891157.6137,0,8
119267,119267,235328.0579,891146.0463,0,9
119267,119267,235317.1739,891140.0372,0,10
119267,119267,235305.68855,891134.0843,0,11
119268,119268,235600.23345,891171.20725,0,1
119268,119268,235588.2555,891166.319,0,2
119268,119268,235582.7681,891164.2445,0,3
119268,119268,235568.3465,891162.0243,0,4
119268,119268,235555.8169,891163.096,0,5
119268,119268,235542.85989999998,891164.17195,0,6
119269,119269,235542.85989999998,891164.17195,0,1
119269,119269,235529.9029,891165.2479,0,2
119269,119269,235519.8551,891166.0856,0,3
119269,119269,235504.0843,891167.7136,0,4
119269,119269,235491.06650000002,891168.706,0,5
119270,119270,235634.4989,891185.8753,0,1
119270,119270,235612.2114,891176.0955,0,2
119270,119270,235600.23345,891171.20725,0,3
119271,119271,235305.68855,891134.0843,0,1
119271,119271,235294.2032,891128.1314,0,2
119271,119271,235269.0375,891115.9157,0,3
119271,119271,235257.402,891110.0437,0,4
119272,119272,235257.402,891110.0437,0,1
119272,119272,235245.7665,891104.1717,0,2
119272,119272,235240.3136,891101.3132,0,3
119272,119272,235230.7346,891097.9824,0,4
119272,119272,235227.1419,891097.8228,0,5
119273,119273,235612.82565,890743.6481999999,0,1
119273,119273,235612.0122,890730.8076,0,2
119273,119273,235610.0128,890713.4903,0,3
119273,119273,235608.6081,890617.1802,0,4
119273,119273,235608.16615,890604.1945499999,0,5
119274,119274,235684.311,891013.2159,0,1
119274,119274,235679.8145,891006.6678,0,2
119274,119274,235664.4677,890967.7553,0,3
119274,119274,235656.1413,890942.9453,0,4
