"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"A3","A8","RTS","A_1","0",3,"14/16/18/20/22","A_1",480,235,120,50,480,240,480,10
"A3","A9","RTS","A_1","0",3,"14/16/18/20/22/24","A_1",660,236,120,50,660,240,660,13.75
"A4","A1","RTS","A_2","0",11,"15/13/11","A_2",360,237,120,50,360,240,360,7.5
"A4","A10","RTS","A_1","0",4,"16/18/20/22/24/25","A_1",720,238,120,50,720,240,720,15
"A4","A11","RTS","A_1","0",4,"16/18/20/22/24/25/2","A_1",840,239,120,50,840,240,840,17.5
"A4","A12","RTS","A_1","0",4,"16/18/20/22/24/25/2/5","A_1",960,240,120,50,960,240,960,20
"A4","A13","RTS","A_1","0",4,"16/18/20/22/24/25/2/5/7","A_1",1140,241,120,50,1140,240,1140,23.75
"A4","A14","RTS","A_1","0",4,"16/18/20/22/24/25/2/5/7/9","A_1",1440,242,120,50,1440,240,1440,30
"A4","A2","RTS","A_2","0",11,"15/13","A_2",240,243,120,50,240,240,240,5
"A4","A6","RTS","A_1","0",4,"16/18","A_1",240,244,120,50,240,240,240,5
"A4","A7","RTS","A_1","0",4,"16/18/20","A_1",300,245,120,50,300,240,300,6.25
"A4","A8","RTS","A_1","0",4,"16/18/20/22","A_1",420,246,120,50,420,240,420,8.75
"A4","A9","RTS","A_1","0",4,"16/18/20/22/24","A_1",600,247,120,50,600,240,600,12.5
"A5","A1","RTS","A_2","0",10,"17/15/13/11","A_2",420,248,120,50,420,240,420,8.75
"A5","A10","RTS","A_1","0",5,"18/20/22/24/25","A_1",600,249,120,50,600,240,600,12.5
"A5","A11","RTS","A_1","0",5,"18/20/22/24/25/2","A_1",720,250,120,50,720,240,720,15
"A5","A12","RTS","A_1","0",5,"18/20/22/24/25/2/5","A_1",840,251,120,50,840,240,840,17.5
"A5","A13","RTS","A_1","0",5,"18/20/22/24/25/2/5/7","A_1",1020,252,120,50,1020,240,1020,21.25
"A5","A14","RTS","A_1","0",5,"18/20/22/24/25/2/5/7/9","A_1",1320,253,120,50,1320,240,1320,27.5
"A5","A2","RTS","A_2","0",10,"17/15/13","A_2",300,254,120,50,300,240,300,6.25
"A5","A3","RTS","A_2","0",10,"17/15","A_2",180,255,120,50,180,240,180,3.75
"A5","A7","RTS","A_1","0",5,"18/20","A_1",180,256,120,50,180,240,180,3.75
"A5","A8","RTS","A_1","0",5,"18/20/22","A_1",300,257,120,50,300,240,300,6.25
"A5","A9","RTS","A_1","0",5,"18/20/22/24","A_1",480,258,120,50,480,240,480,10
"A6","A1","RTS","A_2","0",9,"19/17/15/13/11","A_2",540,259,120,50,540,240,540,11.25
"A6","A10","RTS","A_1","0",6,"20/22/24/25","A_1",480,260,120,50,480,240,480,10
"A6","A11","RTS","A_1","0",6,"20/22/24/25/2","A_1",600,261,120,50,600,240,600,12.5
"A6","A12","RTS","A_1","0",6,"20/22/24/25/2/5","A_1",720,262,120,50,720,240,720,15
"A6","A13","RTS","A_1","0",6,"20/22/24/25/2/5/7","A_1",900,263,120,50,900,240,900,18.75
"A6","A14","RTS","A_1","0",6,"20/22/24/25/2/5/7/9","A_1",1200,264,120,50,1200,240,1200,25
"A6","A2","RTS","A_2","0",9,"19/17/15/13","A_2",420,265,120,50,420,240,420,8.75
"A6","A3","RTS","A_2","0",9,"19/17/15","A_2",300,266,120,50,300,240,300,6.25
"A6","A4","RTS","A_2","0",9,"19/17","A_2",180,267,120,50,180,240,180,3.75
"A6","A8","RTS","A_1","0",6,"20/22","A_1",180,268,120,50,180,240,180,3.75
"A6","A9","RTS","A_1","0",6,"20/22/24","A_1",360,269,120,50,360,240,360,7.5
"A7","A1","RTS","A_2","0",8,"21/19/17/15/13/11","A_2",660,270,120,50,660,240,660,13.75
"A7","A10","RTS","A_1","0",7,"22/24/25","A_1",420,271,120,50,420,240,420,8.75
"A7","A11","RTS","A_1","0",7,"22/24/25/2","A_1",540,272,120,50,540,240,540,11.25
"A7","A12","RTS","A_1","0",7,"22/24/25/2/5","A_1",660,273,120,50,660,240,660,13.75
